"Date","Source","Site ID","POC","Daily Max 8-hour CO Concentration","UNITS","DAILY_AQI_VALUE","Site Name","DAILY_OBS_COUNT","PERCENT_COMPLETE","AQS_PARAMETER_CODE","AQS_PARAMETER_DESC","CBSA_CODE","CBSA_NAME","STATE_CODE","STATE","COUNTY_CODE","COUNTY","SITE_LATITUDE","SITE_LONGITUDE"
"01/01/2020","AQS","250130018","1","0.2","ppm","2","","19","79.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/02/2020","AQS","250130018","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/03/2020","AQS","250130018","1","0.9","ppm","10","","24","100.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/04/2020","AQS","250130018","1","0.9","ppm","10","","24","100.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/05/2020","AQS","250130018","1","0.3","ppm","3","","24","100.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/06/2020","AQS","250130018","1","0.3","ppm","3","","10","42.0000","42101","Carbon monoxide","44140","Springfield, MA","25","Massachusetts","013","Hampden","42.1202291946886","-72.5845032277788"
"01/01/2020","AQS","250250042","1","0.2","ppm","2","DUDLEY SQUARE ROXBURY","19","79.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/02/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/03/2020","AQS","250250042","1","0.5","ppm","6","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/04/2020","AQS","250250042","1","0.6","ppm","7","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/05/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/06/2020","AQS","250250042","1","0.4","ppm","5","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/07/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/08/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/09/2020","AQS","250250042","1","0.4","ppm","5","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/10/2020","AQS","250250042","1","0.4","ppm","5","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/11/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/12/2020","AQS","250250042","1","0.2","ppm","2","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/13/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/14/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/15/2020","AQS","250250042","1","0.6","ppm","7","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/16/2020","AQS","250250042","1","0.6","ppm","7","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/17/2020","AQS","250250042","1","0.2","ppm","2","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/18/2020","AQS","250250042","1","0.3","ppm","3","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/19/2020","AQS","250250042","1","0.5","ppm","6","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/20/2020","AQS","250250042","1","0.2","ppm","2","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/21/2020","AQS","250250042","1","0.6","ppm","7","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/22/2020","AQS","250250042","1","0.7","ppm","8","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
"01/23/2020","AQS","250250042","1","0.7","ppm","8","DUDLEY SQUARE ROXBURY","24","100.0000","42101","Carbon monoxide","14460","Boston-Cambridge-Newton, MA-NH","25","Massachusetts","025","Suffolk","42.3295","-71.0826"
